"X0000","X0001","X0002","X0003","X0004","X0005","X0006","X0007","X0008","X0009","X000A","X000B","X000C","X000D","X000E","X000F"
"X0010","X0011","X0012","X0013","X0014","X0015","X0016","X0017","X0018","X0019","X001A","X001B","X001C","X001D","X001E","X001F"
"X0020","X0021","X0022","X0023","X0024","X0025","X0026","X0027","X0028","X0029","X002A","X002B","X002C","X002D","X002E","X002F"
"X0030","X0031","X0032","X0033","X0034","X0035","X0036","X0037","X0038","X0039","X003A","X003B","X003C","X003D","X003E","X003F"
"X0040","X0041","X0042","X0043","X0044","X0045","X0046","X0047","X0048","X0049","X004A","X004B","X004C","X004D","X004E","X004F"
"X0050","X0051","X0052","X0053","X0054","X0055","X0056","X0057","X0058","X0059","X005A","X005B","X005C","X005D","X005E","X005F"
"X0060","X0061","X0062","X0063","X0064","X0065","X0066","X0067","X0068","X0069","X006A","X006B","X006C","X006D","X006E","X006F"
"X0070","X0071","X0072","X0073","X0074","X0075","X0076","X0077","X0078","X0079","X007A","X007B","X007C","X007D","X007E","X007F"
"X0080","X0081","X0082","X0083","X0084","X0085","X0086","X0087","X0088","X0089","X008A","X008B","X008C","X008D","X008E","X008F"
"X0090","X0091","X0092","X0093","X0094","X0095","X0096","X0097","X0098","X0099","X009A","X009B","X009C","X009D","X009E","X009F"
"X00A0","X00A1","X00A2","X00A3","X00A4","X00A5","X00A6","X00A7","X00A8","X00A9","X00AA","X00AB","X00AC","X00AD","X00AE","X00AF"
"X00B0","X00B1","X00B2","X00B3","X00B4","X00B5","X00B6","X00B7","X00B8","X00B9","X00BA","X00BB","X00BC","X00BD","X00BE","X00BF"
"X00C0","X00C1","X00C2","X00C3","X00C4","X00C5","X00C6","X00C7","X00C8","X00C9","X00CA","X00CB","X00CC","X00CD","X00CE","X00CF"
"X00D0","X00D1","X00D2","X00D3","X00D4","X00D5","X00D6","X00D7","X00D8","X00D9","X00DA","X00DB","X00DC","X00DD","X00DE","X00DF"
"X00E0","X00E1","X00E2","X00E3","X00E4","X00E5","X00E6","X00E7","X00E8","X00E9","X00EA","X00EB","X00EC","X00ED","X00EE","X00EF"
"X00F0","X00F1","X00F2","X00F3","X00F4","X00F5","X00F6","X00F7","X00F8","X00F9","X00FA","X00FB","X00FC","X00FD","X00FE","X00FF"
